FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
28,1,28,1,28,0,0,MA,Boston,2507000,25025100200,2507000-25025100200,2787,17.3,15.2,"(42.28480039740, -71.0857214790)",42.2848004,-71.08572148,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
29,1,29,1,29,0,0,MA,Boston,2507000,25025000100,2507000-25025000100,4254,14,9.5,"(42.36148453740, -71.1385871477)",42.36148454,-71.13858715,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,2,3.5
30,1,30,1,30,0,0,MA,Boston,2507000,25025061101,2507000-25025061101,2232,22.8,22.8,"(42.32628439050, -71.0542968492)",42.32628439,-71.05429685,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
31,1,31,1,31,0,0,MA,Boston,2507000,25025010204,2507000-25025010204,3173,15.6,6.1,"(42.34628872430, -71.1033879487)",42.34628872,-71.10338795,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
32,1,32,1,32,0,0,MA,Boston,2507000,25025101101,2507000-25025101101,3155,15.8,14.3,"(42.28266496040, -71.0950818684)",42.28266496,-71.09508187,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
33,1,33,1,33,0,0,MA,Boston,2507000,25025101102,2507000-25025101102,4396,17.2,15.9,"(42.27879617340, -71.0920461176)",42.27879617,-71.09204612,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,1,3.5
34,1,34,1,34,0,0,MA,Boston,2507000,25025110201,2507000-25025110201,2051,14.5,13.2,"(42.28049609170, -71.1170508363)",42.28049609,-71.11705084,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
35,1,35,1,35,0,0,MA,Boston,2507000,25025040200,2507000-25025040200,1606,16.4,14.4,"(42.37685289130, -71.0567930644)",42.37685289,-71.05679306,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
36,1,36,1,36,0,0,MA,Boston,2507000,25025000502,2507000-25025000502,6303,14.1,6,"(42.33631848420, -71.1589684157)",42.33631848,-71.15896842,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
37,1,37,1,37,0,0,MA,Boston,2507000,25025090600,2507000-25025090600,2348,20,18.1,"(42.32296036410, -71.0722752811)",42.32296036,-71.07227528,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
38,1,38,1,38,0,0,MA,Boston,2507000,25025981100,2507000-25025981100,418,15.7,13,"(42.28792984670, -71.1047138930)",42.28792985,-71.10471389,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
39,1,39,1,39,0,0,MA,Boston,2507000,25025081700,2507000-25025081700,3820,18.1,17.8,"(42.32269631570, -71.0860339999)",42.32269632,-71.086034,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
