FID,SOURCE_ID,Health,GiZScore,GiPValue,NNeighbors,Gi_Bin
37,37,2.500000000000000,0.860702872821000,0.389401719323000,111,0
38,38,2.500000000000000,3.857875099010000,0.000114377067226,78,3
39,39,2.500000000000000,1.377740839110000,0.168283317564000,112,0
40,40,2.500000000000000,1.105030123820000,0.269146553966000,112,0
41,41,2.500000000000000,-0.270190201610000,0.787013930747000,40,0
42,42,2.500000000000000,0.571351883999000,0.567761140837000,107,0
43,43,2.500000000000000,5.338818175340000,0.000000093554409,63,3
44,44,2.500000000000000,2.741294415580000,0.006119764434070,112,3
45,45,2.500000000000000,4.896760956200000,0.000000974292374,73,3
46,46,1.500000000000000,-3.230666577730000,0.001235019158950,58,-3
47,47,2.500000000000000,1.794399064560000,0.072749496134200,109,1
48,48,1.500000000000000,-1.338542590710000,0.180719626231000,106,0
49,49,2.500000000000000,-3.143455140590000,0.001669660053490,57,-3
50,50,2.500000000000000,-0.564369531789000,0.572502672465000,115,0
51,51,1.500000000000000,-1.361215823590000,0.173445495048000,116,0
52,52,2.500000000000000,2.220385288670000,0.026392624814400,58,2
53,53,2.500000000000000,3.828455343160000,0.000128950022073,59,3
54,54,2.500000000000000,-0.049250800140200,0.960719427697000,114,0
55,55,2.500000000000000,4.249157991760000,0.000021457554466,71,3
56,56,2.500000000000000,0.746642942409000,0.455279125750000,115,0
57,57,2.500000000000000,0.340180592967000,0.733720532778000,108,0
58,58,2.500000000000000,3.076335540370000,0.002095618721820,109,3
59,59,2.500000000000000,3.898957869800000,0.000096607580250,99,3
60,60,2.500000000000000,3.881842450940000,0.000103668035195,97,3
61,61,2.500000000000000,-1.676990064200000,0.093544424774500,37,-1
62,62,2.500000000000000,0.223651059179000,0.823028830527000,103,0
63,63,1.500000000000000,-2.007234095740000,0.044724742767000,106,-2
64,64,2.500000000000000,-3.318021540310000,0.000906574928771,55,-3
65,65,2.500000000000000,0.489116810383000,0.624759002578000,103,0
66,66,2.500000000000000,4.729573093320000,0.000002249924418,63,3
67,67,2.500000000000000,1.607928040240000,0.107850939824000,111,0
68,68,2.500000000000000,0.322762799720000,0.746874888406000,23,0
69,69,2.500000000000000,-0.565817901339000,0.571517578662000,111,0
70,70,2.500000000000000,0.022898146844500,0.981731518611000,2,0
71,71,2.500000000000000,3.076335540370000,0.002095618721820,109,3
72,72,2.500000000000000,1.159796032810000,0.246131879649000,110,0
