StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation
MA,Boston,2507000,25025140202,2507000-25025140202,5600,12.9,11.9,"(42.24907115630, -71.1173635008)"
MA,Boston,2507000,25025140300,2507000-25025140300,6382,14,13.4,"(42.25881407250, -71.1188159480)"
MA,Boston,2507000,25025000401,2507000-25025000401,5672,12.2,8.7,"(42.34384949170, -71.1492928672)"
MA,Boston,2507000,25025000402,2507000-25025000402,3648,12.1,6.7,"(42.34417423100, -71.1588286804)"
MA,Boston,2507000,25025040401,2507000-25025040401,2439,12.9,10.3,"(42.37392805160, -71.0657981901)"
MA,Boston,2507000,25025981800,2507000-25025981800,82,7.3,9,"(42.32857493380, -71.1110740086)"
MA,Boston,2507000,25025061101,2507000-25025061101,2232,22.8,22.8,"(42.32628439050, -71.0542968492)"
MA,Boston,2507000,25025120500,2507000-25025120500,2331,12.7,9.6,"(42.32065870690, -71.1042024464)"
MA,Boston,2507000,25025020101,2507000-25025020101,4193,8.3,5.9,"(42.35770859300, -71.0694111834)"
MA,Boston,2507000,25025070500,2507000-25025070500,5460,12.2,9.8,"(42.34193613220, -71.0718233569)"
MA,Boston,2507000,25025070200,2507000-25025070200,5218,16.5,11.4,"(42.34965391110, -71.0639144010)"
MA,Boston,2507000,25025060400,2507000-25025060400,4904,10.7,7.9,"(42.33239875250, -71.0428981298)"
MA,Boston,2507000,25025040801,2507000-25025040801,3900,14.2,11.7,"(42.37905355340, -71.0520713919)"
MA,Boston,2507000,25025081001,2507000-25025081001,4890,17.2,13,"(42.33456664610, -71.1068303460)"
MA,Boston,2507000,25025030300,2507000-25025030300,4872,10.8,9,"(42.36017058540, -71.0536276966)"
MA,Boston,2507000,25025100400,2507000-25025100400,4865,14.3,12.8,"(42.28178702600, -71.0708445892)"
MA,Boston,2507000,25025130100,2507000-25025130100,5906,9.5,8.1,"(42.28991992070, -71.1713259737)"
MA,Boston,2507000,25025130300,2507000-25025130300,4419,9.9,8.9,"(42.27912965440, -71.1507098379)"
MA,Boston,2507000,25025090400,2507000-25025090400,3659,18.2,16.2,"(42.31716357610, -71.0747097432)"
MA,Boston,2507000,25025110403,2507000-25025110403,4309,12.5,11.2,"(42.27791379400, -71.1265658254)"
MA,Boston,2507000,25025110401,2507000-25025110401,3566,13,11.1,"(42.28643333400, -71.1225529301)"
MA,Boston,2507000,25025051101,2507000-25025051101,6093,15,13.4,"(42.38563916230, -71.0040256669)"
MA,Boston,2507000,25025080401,2507000-25025080401,2710,16,15,"(42.33211857970, -71.0808985050)"
MA,Boston,2507000,25025000302,2507000-25025000302,3142,11.5,7.5,"(42.34662695850, -71.1672625179)"
MA,Boston,2507000,25025071101,2507000-25025071101,3753,12.3,9.4,"(42.33595614160, -71.0727568883)"
MA,Boston,2507000,25025000301,2507000-25025000301,2740,11.7,8,"(42.35414426160, -71.1688264959)"
MA,Boston,2507000,25025082100,2507000-25025082100,5025,19.2,18.3,"(42.30944848410, -71.0872292144)"
MA,Boston,2507000,25025010403,2507000-25025010403,3003,12.8,8.3,"(42.34507499310, -71.0880610223)"
MA,Boston,2507000,25025010404,2507000-25025010404,5817,19.4,7.9,"(42.34196670870, -71.0886374471)"
MA,Boston,2507000,25025010405,2507000-25025010405,5522,19.1,8.7,"(42.33986547370, -71.0896051896)"
MA,Boston,2507000,25025010408,2507000-25025010408,1426,10.9,4.9,"(42.34316822750, -71.0958460853)"
MA,Boston,2507000,25025060101,2507000-25025060101,3216,10.5,7.3,"(42.33476185760, -71.0279301448)"
