OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,171,1,171,MI,Detroit,2622000,26163516000.000000000000000,2622000-26163516000,3052,18.399999999999999,20.699999999999999,"(42.37148319700, -83.0093250329)",42.371483200000000,-83.009325029999999,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,172,1,172,MI,Detroit,2622000,26163537800.000000000000000,2622000-26163537800,2035,17.600000000000001,18.699999999999999,"(42.39189183340, -83.1877019244)",42.391891829999999,-83.187701919999995,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,173,1,173,MI,Detroit,2622000,26163505000.000000000000000,2622000-26163505000,1263,17.300000000000001,15.600000000000000,"(42.43910076790, -83.0087281587)",42.439100770000003,-83.008728160000004,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,174,1,174,MI,Detroit,2622000,26163520300.000000000000000,2622000-26163520300,2038,13.500000000000000,9.300000000000001,"(42.34978815220, -83.0627334437)",42.349788150000002,-83.062733440000002,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,175,1,175,MI,Detroit,2622000,26163537000.000000000000000,2622000-26163537000,3641,17.500000000000000,19.100000000000001,"(42.40574318390, -83.1771290715)",42.405743180000002,-83.177129070000007,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1,1.000000000000000
-1,1,176,1,176,MI,Detroit,2622000,26163546500.000000000000000,2622000-26163546500,2357,17.399999999999999,19.300000000000001,"(42.36824973480, -83.2411333106)",42.368249730000002,-83.241133309999995,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,177,1,177,MI,Detroit,2622000,26163534500.000000000000000,2622000-26163534500,980,17.199999999999999,19.899999999999999,"(42.36524931630, -83.1451955809)",42.365249319999997,-83.145195580000006,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,178,1,178,MI,Detroit,2622000,26163521900.000000000000000,2622000-26163521900,2942,16.600000000000001,16.300000000000001,"(42.35039933950, -83.0805337800)",42.350399340000003,-83.080533779999996,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,179,1,179,MI,Detroit,2622000,26163531600.000000000000000,2622000-26163531600,1981,16.500000000000000,18.300000000000001,"(42.39415302120, -83.1282997131)",42.394153019999997,-83.128299709999993,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,180,1,180,MI,Detroit,2622000,26163513300.000000000000000,2622000-26163513300,2300,14.300000000000001,15.600000000000000,"(42.35619796620, -82.9412779182)",42.356197969999997,-82.941277920000005,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,181,1,181,MI,Detroit,2622000,26163515200.000000000000000,2622000-26163515200,2032,15.699999999999999,20.399999999999999,"(42.36166273450, -83.0056672731)",42.361662729999999,-83.005667270000004,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,182,1,182,MI,Detroit,2622000,26163539200.000000000000000,2622000-26163539200,4710,14.600000000000000,17.399999999999999,"(42.44188575160, -83.1852528025)",42.441885749999997,-83.185252800000001,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,183,1,183,MI,Detroit,2622000,26163523200.000000000000000,2622000-26163523200,3850,18.399999999999999,18.500000000000000,"(42.31445635760, -83.1042425894)",42.314456360000001,-83.104242589999998,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,184,1,184,MI,Detroit,2622000,26163539100.000000000000000,2622000-26163539100,1794,16.899999999999999,19.899999999999999,"(42.44219336590, -83.1662918509)",42.442193369999998,-83.166291849999993,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,185,1,185,MI,Detroit,2622000,26163531200.000000000000000,2622000-26163531200,2532,13.300000000000001,14.300000000000001,"(42.37882963980, -83.1020095479)",42.378829639999999,-83.102009550000005,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,186,1,186,MI,Detroit,2622000,26163500500.000000000000000,2622000-26163500500,2205,16.899999999999999,15.699999999999999,"(42.42413419830, -82.9679433509)",42.424134199999997,-82.967943349999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,187,1,187,MI,Detroit,2622000,26163506100.000000000000000,2622000-26163506100,1921,18.100000000000001,18.000000000000000,"(42.44456739850, -83.0320132745)",42.444567399999997,-83.032013269999993,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1,1.000000000000000
-1,1,188,1,188,MI,Detroit,2622000,26163517300.000000000000000,2622000-26163517300,1943,18.199999999999999,18.399999999999999,"(42.34568950140, -83.0505419002)",42.345689499999999,-83.050541899999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,189,1,189,MI,Detroit,2622000,26163504400.000000000000000,2622000-26163504400,1999,18.199999999999999,19.500000000000000,"(42.40305425430, -82.9892426329)",42.403054249999997,-82.989242630000007,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,190,1,190,MI,Detroit,2622000,26163515700.000000000000000,2622000-26163515700,3295,11.500000000000000,15.900000000000000,"(42.35211615490, -82.9859403618)",42.352116150000001,-82.985940360000001,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,191,1,191,MI,Detroit,2622000,26163539500.000000000000000,2622000-26163539500,2963,13.900000000000000,17.300000000000001,"(42.41982371200, -83.1873321628)",42.419823710000003,-83.187332159999997,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,192,1,192,MI,Detroit,2622000,26163538400.000000000000000,2622000-26163538400,3342,10.000000000000000,11.100000000000000,"(42.42444297460, -83.1362308822)",42.424442970000001,-83.136230879999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,193,1,193,MI,Detroit,2622000,26163536900.000000000000000,2622000-26163536900,3497,18.000000000000000,19.899999999999999,"(42.41293077180, -83.1776478101)",42.412930770000003,-83.177647809999996,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2,3.000000000000000
-1,1,194,1,194,MI,Detroit,2622000,26163535600.000000000000000,2622000-26163535600,3425,13.600000000000000,16.199999999999999,"(42.35510978510, -83.1675599024)",42.355109790000000,-83.167559900000001,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,195,1,195,MI,Detroit,2622000,26163505200.000000000000000,2622000-26163505200,3348,18.300000000000001,18.899999999999999,"(42.41380112050, -83.0035040993)",42.413801120000002,-83.003504100000001,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,196,1,196,MI,Detroit,2622000,26163513700.000000000000000,2622000-26163513700,3256,15.400000000000000,18.000000000000000,"(42.36200317920, -82.9611079617)",42.362003180000002,-82.961107960000007,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,197,1,197,MI,Detroit,2622000,26163511200.000000000000000,2622000-26163511200,1442,18.300000000000001,20.100000000000001,"(42.37638595790, -83.0658455649)",42.376385960000000,-83.065845560000000,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,198,1,198,MI,Detroit,2622000,26163536600.000000000000000,2622000-26163536600,2946,17.899999999999999,20.100000000000001,"(42.38991550440, -83.1588972501)",42.389915500000001,-83.158897249999995,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2,3.000000000000000
-1,1,199,1,199,MI,Detroit,2622000,26163507500.000000000000000,2622000-26163507500,2479,17.000000000000000,19.100000000000001,"(42.44325463490, -83.0881317536)",42.443254629999998,-83.088131750000002,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,200,1,200,MI,Detroit,2622000,26163514200.000000000000000,2622000-26163514200,2726,18.100000000000001,21.800000000000001,"(42.38171401490, -83.0084250191)",42.381714010000003,-83.008425020000004,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
