OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,plctract10,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,32,1,32,CO,Denver,820000,8031000401.000000000000000,0820000-08031000401,3209,11.100000000000000,10.199999999999999,"(39.77293599310, -105.018261231)",39.772935990000001,-105.018261199999998,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,33,1,33,CO,Denver,820000,8031001401.000000000000000,0820000-08031001401,5750,14.900000000000000,16.600000000000001,"(39.69324700740, -105.009861738)",39.693247010000000,-105.009861700000002,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,34,1,34,CO,Denver,820000,8031001402.000000000000000,0820000-08031001402,4070,15.800000000000001,17.100000000000001,"(39.68591927290, -105.012854440)",39.685919269999999,-105.012854399999995,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,35,1,35,CO,Denver,820000,8031001403.000000000000000,0820000-08031001403,2218,12.000000000000000,9.900000000000000,"(39.68133791900, -104.993151725)",39.681337919999997,-104.993151699999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,36,1,36,CO,Denver,820000,8031008391.000000000000000,0820000-08031008391,7020,12.500000000000000,10.500000000000000,"(39.77565940870, -104.744469879)",39.775659410000003,-104.744469899999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,37,1,37,CO,Denver,820000,8031008390.000000000000000,0820000-08031008390,7703,13.500000000000000,11.600000000000000,"(39.77676603820, -104.762921459)",39.776766039999998,-104.762921500000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,38,1,38,CO,Denver,820000,8031015600.000000000000000,0820000-08031015600,6498,16.899999999999999,17.300000000000001,"(39.67244789660, -105.013305106)",39.672447900000002,-105.013305099999997,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,39,1,39,CO,Denver,820000,8031007006.000000000000000,0820000-08031007006,4464,13.199999999999999,9.199999999999999,"(39.65404462370, -104.863651598)",39.654044620000001,-104.863651599999997,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,1.000000000000000,2.500000000000000
-1,1,40,1,40,CO,Denver,820000,8031004503.000000000000000,0820000-08031004503,3974,14.400000000000000,14.400000000000000,"(39.70056230900, -105.045890112)",39.700562310000002,-105.045890099999994,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,41,1,41,CO,Denver,820000,8031004506.000000000000000,0820000-08031004506,3450,16.500000000000000,17.100000000000001,"(39.70041264730, -105.032047331)",39.700412649999997,-105.032047300000002,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,42,1,42,CO,Denver,820000,8031004504.000000000000000,0820000-08031004504,3705,15.100000000000000,15.100000000000000,"(39.70777498880, -105.046818218)",39.707774989999997,-105.046818200000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,43,1,43,CO,Denver,820000,8031004505.000000000000000,0820000-08031004505,4357,16.500000000000000,16.500000000000000,"(39.70760117860, -105.032419418)",39.707601179999997,-105.032419399999995,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,44,1,44,CO,Denver,820000,8031003500.000000000000000,0820000-08031003500,6401,15.199999999999999,15.600000000000000,"(39.78253043480, -104.957494294)",39.782530430000001,-104.957494299999993,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,45,1,45,CO,Denver,820000,8031001800.000000000000000,0820000-08031001800,3209,13.400000000000000,10.199999999999999,"(39.73096391970, -104.995841803)",39.730963920000001,-104.995841799999994,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,46,1,46,CO,Denver,820000,8031001702.000000000000000,0820000-08031001702,3648,11.199999999999999,7.100000000000000,"(39.74512105430, -104.993160171)",39.745121050000002,-104.993160200000005,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,3.000000000000000,4.500000000000000
-1,1,47,1,47,CO,Denver,820000,8031001000.000000000000000,0820000-08031001000,3941,16.199999999999999,16.600000000000001,"(39.71717169090, -105.015222851)",39.717171690000001,-105.015222899999998,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,48,1,48,CO,Denver,820000,8031002100.000000000000000,0820000-08031002100,4879,11.600000000000000,9.800000000000001,"(39.71520594300, -104.996193659)",39.715205939999997,-104.996193700000006,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,49,1,49,CO,Denver,820000,8031008386.000000000000000,0820000-08031008386,4511,15.199999999999999,14.400000000000000,"(39.79199649970, -104.814831880)",39.791996500000003,-104.814831900000001,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,50,1,50,CO,Denver,820000,8031008387.000000000000000,0820000-08031008387,5961,15.600000000000000,14.800000000000001,"(39.78406998700, -104.820180343)",39.784069989999999,-104.820180300000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,51,1,51,CO,Denver,820000,8031008388.000000000000000,0820000-08031008388,6962,13.000000000000000,10.100000000000000,"(39.78617474890, -104.791453399)",39.786174750000001,-104.791453399999995,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,1.000000000000000,3.500000000000000
-1,1,52,1,52,CO,Denver,820000,8031008389.000000000000000,0820000-08031008389,7516,11.500000000000000,9.100000000000000,"(39.79039280820, -104.752633391)",39.790392810000000,-104.752633399999993,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,1.000000000000000,2.500000000000000
