StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
DC,Washington,1150000,11001007200,1150000-11001007200,2794,9.2,5.6,"(38.87512740550, -77.0008856064)",38.87512740550,-77.0008856064
DC,Washington,1150000,11001009810,1150000-11001009810,2507,17,15.1,"(38.82720044460, -77.0045793122)",38.82720044460,-77.0045793122
DC,Washington,1150000,11001009906,1150000-11001009906,1296,14.2,14,"(38.88791130080, -76.9359192295)",38.88791130080,-76.9359192295
DC,Washington,1150000,11001009907,1150000-11001009907,2836,17.2,16,"(38.88277179650, -76.9388145143)",38.88277179650,-76.9388145143
DC,Washington,1150000,11001009904,1150000-11001009904,2243,15.5,13.7,"(38.88515656610, -76.9311361548)",38.88515656610,-76.9311361548
DC,Washington,1150000,11001009905,1150000-11001009905,2795,14.8,13.9,"(38.88431870430, -76.9250526037)",38.88431870430,-76.9250526037
DC,Washington,1150000,11001009902,1150000-11001009902,2905,11.7,12.5,"(38.87178641010, -76.9445537751)",38.87178641010,-76.9445537751
DC,Washington,1150000,11001009903,1150000-11001009903,1851,13.1,12.1,"(38.88828743960, -76.9211942041)",38.88828743960,-76.9211942041
DC,Washington,1150000,11001009901,1150000-11001009901,2249,8.6,9.8,"(38.87534635750, -76.9553331484)",38.87534635750,-76.9553331484
DC,Washington,1150000,11001005800,1150000-11001005800,2830,8.4,6.2,"(38.89787327740, -77.0250007021)",38.89787327740,-77.0250007021
DC,Washington,1150000,11001004400,1150000-11001004400,4572,8.1,4.9,"(38.91701445390, -77.0275918943)",38.91701445390,-77.0275918943
DC,Washington,1150000,11001007708,1150000-11001007708,2486,17.1,17.1,"(38.88553692350, -76.9616033731)",38.88553692350,-76.9616033731
DC,Washington,1150000,11001007709,1150000-11001007709,2007,14.1,15,"(38.87737076630, -76.9678810881)",38.87737076630,-76.9678810881
DC,Washington,1150000,11001000202,1150000-11001000202,5425,10,5.7,"(38.90618771760, -77.0696162292)",38.90618771760,-77.0696162292
DC,Washington,1150000,11001002102,1150000-11001002102,4648,9.5,9.2,"(38.95578537960, -77.0142358815)",38.95578537960,-77.0142358815
DC,Washington,1150000,11001002101,1150000-11001002101,5309,11.6,10.4,"(38.95591306310, -77.0241320119)",38.95591306310,-77.0241320119
DC,Washington,1150000,11001000201,1150000-11001000201,3916,19.2,7,"(38.90933854630, -77.0748289955)",38.90933854630,-77.0748289955
DC,Washington,1150000,11001007703,1150000-11001007703,5187,18.6,18.1,"(38.88619675980, -76.9475351599)",38.88619675980,-76.9475351599
DC,Washington,1150000,11001007707,1150000-11001007707,3867,13.7,14.4,"(38.87793994470, -76.9353606595)",38.87793994470,-76.9353606595
DC,Washington,1150000,11001006500,1150000-11001006500,2531,8.2,5.6,"(38.88381175390, -77.0033906634)",38.88381175390,-77.0033906634
DC,Washington,1150000,11001005002,1150000-11001005002,6021,9.9,6.7,"(38.90727476390, -77.0293193313)",38.90727476390,-77.0293193313
DC,Washington,1150000,11001005001,1150000-11001005001,1955,8.6,5.9,"(38.91191893880, -77.0295156072)",38.91191893880,-77.0295156072
DC,Washington,1150000,11001001301,1150000-11001001301,3955,6.9,5,"(38.95383569820, -77.0545997657)",38.95383569820,-77.0545997657
DC,Washington,1150000,11001001302,1150000-11001001302,6857,7.9,5.5,"(38.94116581890, -77.0561258835)",38.94116581890,-77.0561258835
DC,Washington,1150000,11001004001,1150000-11001004001,3745,7.8,5.2,"(38.92073588890, -77.0465415653)",38.92073588890,-77.0465415653
DC,Washington,1150000,11001004002,1150000-11001004002,2797,7.4,4.4,"(38.91809922400, -77.0437381559)",38.91809922400,-77.0437381559
DC,Washington,1150000,11001000600,1150000-11001000600,4539,7,6,"(38.93629320290, -77.0664969011)",38.93629320290,-77.0664969011
DC,Washington,1150000,11001009400,1150000-11001009400,4163,10,10.6,"(38.93677630970, -76.9742391991)",38.93677630970,-76.9742391991
DC,Washington,1150000,11001008302,1150000-11001008302,2206,8.3,5.8,"(38.89630614890, -76.9966527047)",38.89630614890,-76.9966527047
DC,Washington,1150000,11001008301,1150000-11001008301,2279,7.8,4.8,"(38.89703734080, -77.0008008935)",38.89703734080,-77.0008008935
