StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
OR,Portland,4159000,41051008700,4159000-41051008700,4539,12.8,10.5,"(45.47226195620, -122.602694678)",45.47226195620,-122.602694678
OR,Portland,4159000,41051003000,4159000-41051003000,4443,9.7,8.1,"(45.55476299970, -122.623888708)",45.55476299970,-122.623888708
OR,Portland,4159000,41051007300,4159000-41051007300,1948,16.5,14.2,"(45.58156084890, -122.588397934)",45.58156084890,-122.588397934
OR,Portland,4159000,41051002100,4159000-41051002100,2577,12.2,8.4,"(45.52373030490, -122.655935543)",45.52373030490,-122.655935543
OR,Portland,4159000,41051002000,4159000-41051002000,5358,11.5,7.5,"(45.52523528310, -122.637904449)",45.52523528310,-122.637904449
OR,Portland,4159000,41051008800,4159000-41051008800,4070,14.1,11.7,"(45.46507335960, -122.602676456)",45.46507335960,-122.602676456
OR,Portland,4159000,41051006602,4159000-41051006602,4821,11.1,8.9,"(45.47107557960, -122.707277776)",45.47107557960,-122.707277776
OR,Portland,4159000,41051006601,4159000-41051006601,2513,8.5,8.2,"(45.47191958850, -122.733420430)",45.47191958850,-122.733420430
OR,Portland,4159000,41051008201,4159000-41051008201,3022,11.5,12.5,"(45.51183774730, -122.558370494)",45.51183774730,-122.558370494
OR,Portland,4159000,41051008202,4159000-41051008202,7583,16.5,15.5,"(45.51489046650, -122.545870612)",45.51489046650,-122.545870612
OR,Portland,4159000,41051000100,4159000-41051000100,5927,10.1,8.3,"(45.47689209210, -122.658569780)",45.47689209210,-122.658569780
OR,Portland,4159000,41051001701,4159000-41051001701,6402,11.7,9.2,"(45.52758599790, -122.586670704)",45.52758599790,-122.586670704
OR,Portland,4159000,41051009000,4159000-41051009000,9621,16.1,14.2,"(45.49264282040, -122.530708125)",45.49264282040,-122.530708125
OR,Portland,4159000,41051001102,4159000-41051001102,1334,11.1,7.9,"(45.50860554560, -122.655978261)",45.50860554560,-122.655978261
OR,Portland,4159000,41051010200,4159000-41051010200,583,12.3,11.8,"(45.56040438220, -122.501652706)",45.56040438220,-122.501652706
OR,Portland,4159000,41051004500,4159000-41051004500,1893,9.9,8,"(45.53827807280, -122.701437282)",45.53827807280,-122.701437282
OR,Portland,4159000,41051003601,4159000-41051003601,4422,11.5,8.5,"(45.57107082850, -122.655937437)",45.57107082850,-122.655937437
OR,Portland,4159000,41051003603,4159000-41051003603,1516,10.3,9.3,"(45.56786130700, -122.625366974)",45.56786130700,-122.625366974
OR,Portland,4159000,41051003602,4159000-41051003602,6085,11.3,8.4,"(45.56935248840, -122.640920773)",45.56935248840,-122.640920773
OR,Portland,4159000,41051005100,4159000-41051005100,7926,10.7,8.8,"(45.52890063140, -122.677413116)",45.52890063140,-122.677413116
OR,Portland,4159000,41051007000,4159000-41051007000,6582,8.6,7.5,"(45.54930395820, -122.763621782)",45.54930395820,-122.763621782
OR,Portland,4159000,41051002303,4159000-41051002303,1996,11.8,9.8,"(45.53434386330, -122.667498775)",45.53434386330,-122.667498775
OR,Portland,4159000,41051009804,4159000-41051009804,3183,15.6,14.9,"(45.49904897530, -122.490497164)",45.49904897530,-122.490497164
OR,Portland,4159000,41051006001,4159000-41051006001,1390,8.7,7.3,"(45.48967274090, -122.686873425)",45.48967274090,-122.686873425
OR,Portland,4159000,41051009803,4159000-41051009803,823,16.2,14,"(45.49662723040, -122.483165977)",45.49662723040,-122.483165977
OR,Portland,4159000,41051001500,4159000-41051001500,3271,9.7,7.8,"(45.51113062140, -122.606821154)",45.51113062140,-122.606821154
OR,Portland,4159000,41051000701,4159000-41051000701,4254,12,10.5,"(45.50138733650, -122.589114329)",45.50138733650,-122.589114329
OR,Portland,4159000,41051000702,4159000-41051000702,4758,11.4,9.6,"(45.49390972240, -122.590076654)",45.49390972240,-122.590076654
OR,Portland,4159000,41067030600,4159000-41067030600,111,11.7,9.3,"(45.44627163430, -122.744753995)",45.44627163430,-122.744753995
OR,Portland,4159000,41005022206,4159000-41005022206,320,10.1,9.1,"(45.45957265000, -122.567742037)",45.45957265000,-122.567742037
OR,Portland,4159000,41051007400,4159000-41051007400,3654,15.6,14.4,"(45.56584767250, -122.607648221)",45.56584767250,-122.607648221
OR,Portland,4159000,41051006801,4159000-41051006801,1610,9.6,9.1,"(45.49088357230, -122.736307924)",45.49088357230,-122.736307924
OR,Portland,4159000,41051006802,4159000-41051006802,3358,8.6,7.9,"(45.49119381640, -122.718292339)",45.49119381640,-122.718292339
OR,Portland,4159000,41005022208,4159000-41005022208,75,11,9,"(45.45857738290, -122.521315368)",45.45857738290,-122.521315368
OR,Portland,4159000,41051006900,4159000-41051006900,1610,8.1,7.8,"(45.50976019370, -122.728937806)",45.50976019370,-122.728937806
OR,Portland,4159000,41051009400,4159000-41051009400,6659,11.2,13.3,"(45.53891343070, -122.518191018)",45.53891343070,-122.518191018
OR,Portland,4159000,41051008500,4159000-41051008500,4275,14.9,13.6,"(45.48282150900, -122.547130664)",45.48282150900,-122.547130664
OR,Portland,4159000,41051002501,4159000-41051002501,4573,8.4,7.7,"(45.54359636630, -122.638990890)",45.54359636630,-122.638990890
OR,Portland,4159000,41051004800,4159000-41051004800,2758,10.6,6.7,"(45.52712671350, -122.694996249)",45.52712671350,-122.694996249
OR,Portland,4159000,41051002502,4159000-41051002502,3872,9.9,7.6,"(45.53497432210, -122.639160312)",45.53497432210,-122.639160312
OR,Portland,4159000,41051004601,4159000-41051004601,3219,7.6,7.2,"(45.51965830700, -122.710234752)",45.51965830700,-122.710234752
OR,Portland,4159000,41051004602,4159000-41051004602,2011,8,7.6,"(45.51000803190, -122.702722517)",45.51000803190,-122.702722517
OR,Portland,4159000,41051006300,4159000-41051006300,3485,10.6,6.1,"(45.45271362100, -122.676686021)",45.45271362100,-122.676686021
OR,Portland,4159000,41051000200,4159000-41051000200,5777,10.7,8.9,"(45.47421940540, -122.644247905)",45.47421940540,-122.644247905
OR,Portland,4159000,41051001602,4159000-41051001602,4376,14.3,12.4,"(45.51191252850, -122.572151776)",45.51191252850,-122.572151776
OR,Portland,4159000,41051001601,4159000-41051001601,5961,10,9.3,"(45.51275864510, -122.590336982)",45.51275864510,-122.590336982
OR,Portland,4159000,41051006002,4159000-41051006002,2118,9.1,8,"(45.47513946860, -122.686977116)",45.47513946860,-122.686977116
OR,Portland,4159000,41051007201,4159000-41051007201,2270,11.8,13.3,"(45.61191168280, -122.672189008)",45.61191168280,-122.672189008
OR,Portland,4159000,41051007202,4159000-41051007202,2579,11.7,11.2,"(45.61137149800, -122.718472748)",45.61137149800,-122.718472748
OR,Portland,4159000,41051006702,4159000-41051006702,3061,11.7,10.4,"(45.47971339850, -122.713339176)",45.47971339850,-122.713339176
OR,Portland,4159000,41051006701,4159000-41051006701,3053,9.2,9,"(45.48157488080, -122.733674915)",45.48157488080,-122.733674915
OR,Portland,4159000,41051005500,4159000-41051005500,2473,14.2,10,"(45.51414356500, -122.690909947)",45.51414356500,-122.690909947
