OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,StateAbb_1,PlaceNam_1,PlaceFIP_1,TractFIP_1,Place_Tr_1,Populati_1,MHLTH_Cr_1,PHLTH_Cr_1,Geolocat_1,lat_1,long_1,MHLTH_Me_1,PHLTH_Me_1,Distance,Dist_HLTH
-1,1,12,1,12,WA,Seattle,5363000,53033012000.000000000000000,5363000-53033012000,3349,9.900000000000000,9.300000000000001,"(47.51292907140, -122.380680857)",47.512929069999998,-122.380680900000002,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033012000.000000000000000,5363000-53033012000,3349,9.900000000000000,9.300000000000001,"(47.51292907140, -122.380680857)",47.512929069999998,-122.380680900000002,9.500000000000000,8.150000000000000,2,4.500000000000000
-1,1,13,1,13,WA,Seattle,5363000,53033008002.000000000000000,5363000-53033008002,3013,11.400000000000000,10.800000000000001,"(47.61208708440, -122.345259193)",47.612087080000002,-122.345259200000001,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033008002.000000000000000,5363000-53033008002,3013,11.400000000000000,10.800000000000001,"(47.61208708440, -122.345259193)",47.612087080000002,-122.345259200000001,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,14,1,14,WA,Seattle,5363000,53033010300.000000000000000,5363000-53033010300,5940,11.600000000000000,11.300000000000001,"(47.55413649910, -122.282639137)",47.554136499999998,-122.282639099999997,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033010300.000000000000000,5363000-53033010300,5940,11.600000000000000,11.300000000000001,"(47.55413649910, -122.282639137)",47.554136499999998,-122.282639099999997,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,15,1,15,WA,Seattle,5363000,53033009300.000000000000000,5363000-53033009300,2354,11.199999999999999,10.800000000000001,"(47.57642780640, -122.330973144)",47.576427809999998,-122.330973099999994,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033009300.000000000000000,5363000-53033009300,2354,11.199999999999999,10.800000000000001,"(47.57642780640, -122.330973144)",47.576427809999998,-122.330973099999994,9.500000000000000,8.150000000000000,1,3.500000000000000
-1,1,16,1,16,WA,Seattle,5363000,53033011300.000000000000000,5363000-53033011300,5984,11.800000000000001,10.600000000000000,"(47.52743056840, -122.344728536)",47.527430570000000,-122.344728500000002,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011300.000000000000000,5363000-53033011300,5984,11.800000000000001,10.600000000000000,"(47.52743056840, -122.344728536)",47.527430570000000,-122.344728500000002,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,17,1,17,WA,Seattle,5363000,53033010702.000000000000000,5363000-53033010702,3679,15.900000000000000,14.699999999999999,"(47.54680437740, -122.373030215)",47.546804379999998,-122.373030200000002,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033010702.000000000000000,5363000-53033010702,3679,15.900000000000000,14.699999999999999,"(47.54680437740, -122.373030215)",47.546804379999998,-122.373030200000002,9.500000000000000,8.150000000000000,2,4.500000000000000
-1,1,18,1,18,WA,Seattle,5363000,53033010701.000000000000000,5363000-53033010701,3385,13.500000000000000,11.400000000000000,"(47.54289384380, -122.366043004)",47.542893839999998,-122.366043000000005,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033010701.000000000000000,5363000-53033010701,3385,13.500000000000000,11.400000000000000,"(47.54289384380, -122.366043004)",47.542893839999998,-122.366043000000005,9.500000000000000,8.150000000000000,1,3.500000000000000
-1,1,19,1,19,WA,Seattle,5363000,53033011101.000000000000000,5363000-53033011101,4390,11.400000000000000,11.800000000000001,"(47.53948424330, -122.277372611)",47.539484240000000,-122.277372600000007,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011101.000000000000000,5363000-53033011101,4390,11.400000000000000,11.800000000000001,"(47.53948424330, -122.277372611)",47.539484240000000,-122.277372600000007,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,20,1,20,WA,Seattle,5363000,53033005200.000000000000000,5363000-53033005200,6076,12.600000000000000,7.800000000000000,"(47.65896613270, -122.323089500)",47.658966130000003,-122.323089499999995,9.500000000000000,8.150000000000000,1.500000000000000,0.000000000000000,1.500000000000000,WA,Seattle,5363000,53033005200.000000000000000,5363000-53033005200,6076,12.600000000000000,7.800000000000000,"(47.65896613270, -122.323089500)",47.658966130000003,-122.323089499999995,9.500000000000000,8.150000000000000,3,4.500000000000000
-1,1,21,1,21,WA,Seattle,5363000,53033026500.000000000000000,5363000-53033026500,81,14.000000000000000,15.600000000000000,"(47.51739005610, -122.334279679)",47.517390059999997,-122.334279699999996,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033026500.000000000000000,5363000-53033026500,81,14.000000000000000,15.600000000000000,"(47.51739005610, -122.334279679)",47.517390059999997,-122.334279699999996,9.500000000000000,8.150000000000000,2,4.500000000000000
